股票代码,截止日期,股票名称,行业,上市时间,市盈率-动态,市净率,总市值,流通市值
600011,2015-04-20,华能国际,电力行业,20011206,5.53,1.64,109415710712.0,76654038135.0
601225,2015-04-20,陕西煤业,煤炭行业,20140128,13.02,2.34,220755150000.0,220755150000.0
601857,2015-04-20,中国石油,石油行业,20071105,11.46,1.24,1929041106202.0,1706658700202.0
600023,2015-04-20,浙能电力,电力行业,20131219,8.01,0.89,66507314435.0,66507314435.0
600015,2015-04-20,华夏银行,银行,20030912,3.94,0.27,107107468590.0,103556017406.0
600085,2015-04-20,同仁堂,中药,19970625,26.73,3.07,41966990017.0,41966990017.0
000776,2015-04-20,广发证券,证券,19970611,11.34,1.3,165338985647.0,124752561941.0
601898,2015-04-20,中煤能源,煤炭行业,20080201,11.49,1.21,191189926228.0,131971845768.0
603288,2015-04-20,海天味业,食品饮料,20140211,29.39,5.52,208559041004.0,198179803388.0
601336,2015-04-20,新华保险,保险,20111216,5.53,2.46,242388770820.0,162038636718.0
601800,2015-04-20,中国交建,工程建设,20120309,7.17,0.44,130522646685.0,94463066545.0
000596,2015-04-20,古井贡酒,酿酒行业,19960927,12.93,2.68,68247546000.0,52754346000.0
601006,2015-04-20,大秦铁路,物流行业,20060801,12.24,0.61,101541775689.0,101541775689.0
601328,2015-04-20,XD交通银,银行,20070515,6.3,0.52,587619165083.0,173381723134.0
601398,2015-04-20,工商银行,银行,20061027,7.04,0.67,2534048487903.0,1916942831152.0
601318,2015-04-20,中国平安,保险,20070301,6.67,1.2,1182247945854.0,695995649269.0
002179,2015-04-20,中航光电,电子元件,20071101,34.2,2.99,72635514305.0,71926673825.0
601186,2015-04-20,中国铁建,工程建设,20080310,4.93,0.36,97365312555.0,82478270235.0
